,precision,recall,f1-score,support
Carabidae,0.3076923076923077,0.625,0.41237113402061853,32.0
Chrysomelidae,0.34210526315789475,0.3170731707317073,0.3291139240506329,41.0
Other,0.45454545454545453,0.12195121951219512,0.19230769230769232,41.0
Staphylinidae,0.10714285714285714,0.10714285714285714,0.10714285714285714,28.0
accuracy,0.2887323943661972,0.2887323943661972,0.2887323943661972,0.2887323943661972
macro avg,0.30287147063462855,0.2927918118466899,0.2602339018804502,142.0
weighted avg,0.32048474135205046,0.2887323943661972,0.2646067785869798,142.0
